pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
67073,5,3,4,1,27.583333333,,,,,,,,,,,,,,,,,,,,,1,4,2,2,3,1,3,3,3,5,25,3,3,2,2,2,2,2,2,2,3,3,1,3,6,6,7,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-04-01,2019-07-01,,3,0
67150,5,2,8,2,24.333333333,,,,,,,,,,,,,,,,,,,,,-1,8,1,2,2,2,1,2,2,5,45,3,2,3,2,1,2,1,1,1,3,3.3,1,2,3,3,3,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-04-01,2020-06-01,,14,0
67193,5,3,10,1,26.666666667,,,,,,,,,,,,,,,,,,,,,6,10,1,1,3,1,1,1,3,5,40,2,1,3,2,1,2,1,1,1,3,3.5,1,3,5,5,5,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2020-03-01,2020-04-01,,1,0
67214,5,4,14,2,25.166666667,1,-1,1,2,3,2,3,1,3,5,40,3,3,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4.16,2,3,3,5,5,1,2019,0,1,2014-03-01,2019-02-28,2019-09-01,2016-02-01,,,43,,0
67265,5,5,6,2,25.75,,,,,,,,,,,,,,,,,,,,,9,6,1,1,3,1,1,3,3,6,42,4,4,4,3,1,2,1,1,1,1,3.5,2,4,7,7,7,2,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2016-02-01,2019-03-01,,37,0
67273,5,5,13,2,23.75,,,,,,,,,,,,,,,,,,,,,3,13,1,1,1,1,1,1,1,5,40,4,4,1,1,1,2,1,1,1,3,4.36,2,4,5,5,5,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-03-01,,12,0
67359,5,1,1,2,26.25,,,,,,,,,,,,,,,,,,,,,5,,2,1,2,1,2,2,2,5,40,4,3,2,2,3,3,3,3,3,3,3.3,2,5,6,6,6,1,2019,1,2,2014-03-01,2018-08-31,2019-09-01,,2019-03-01,2019-09-01,,6,0
67391,5,1,1,1,27.583333333,,,,,,,,,,,,,,,,,,,,,9,1,1,1,1,1,1,1,1,5,40,3,3,3,2,1,2,1,1,1,2,3.5,2,3,6,6,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-01-01,2020-02-01,,13,0
67441,5,4,15,2,24.083333333,,,,,,,,,,,,,,,,,,,,,1,15,2,2,1,2,2,2,1,5,30,4,4,5,4,2,2,2,2,2,3,2,1,3,6,4,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2018-11-01,2020-02-01,,15,0
67445,5,4,14,1,25.916666667,,,,,,,,,,,,,,,,,,,,,9,14,1,1,3,1,1,1,3,5,40,4,4,1,2,1,2,1,1,1,3,3.3,1,4,6,6,6,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-03-01,2020-02-01,,11,0
