pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,First_Work,year,Resign,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,insurance,work_timeB,주당근로일,주당근로시간,직장에서의복리후생제공여부,보험가입여부,직장만족도,주당근로시간_binary
27043,2,4,14,1,27.83333333,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,5,40,4,4,2,3,1,2,1,1,1,3,3.7,2,4,6,6,6,1,2,2020,1,2011-03-01,2018-08-31,2020-09-01,,2019-06-01,2020-03-01,,9,9,0,0,2,3,2,4,4,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,2,1,2,1,3,3,3,2,3,3,1,1,0,5,40,제공한다,가입했다,그렇다,40시간이하
27084,2,1,1,1,27.75,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,5,40,2,2,2,3,1,2,1,1,1,3,3.8,1,3,1,1,1,1,2,2020,1,2011-03-01,2018-08-31,2020-09-01,,2020-01-01,2020-04-01,,3,3,0,0,2,3,-1,2,2,3,3,3,3,3,3,3,5,40,1,2,1,1,1,3,2,1,1,1,2,1,1,1,1,,1,1,0,1,0,5,40,제공하지않는다,가입했다,그렇지않다,40시간이하
27105,2,1,1,2,24.83333333,1,4,1,1,1,1,1,1,1,5,40,4,4,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,4.2,2,4,5,5,5,1,1,2020,0,2014-03-01,2018-08-31,2020-09-01,2018-02-01,,,31,,31,1,1,3,4,4,4,4,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,1,2,3,1,3,3,3,2,3,3,1,1,0,5,40,제공한다,가입했다,그렇다,40시간이하
27177,2,3,11,1,26.58333333,,,,,,,,,,,,,,,,,,,,,2,1,1,3,1,1,1,3,3,21,3,3,1,2,2,2,2,2,2,3,3.4,1,5,3,3,4,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2019-03-01,2019-11-01,,8,8,0,0,1,2,2,3,3,1,1,3,1,1,1,3,3,21,2,2,2,2,2,3,3,1,2,1,1,1,1,1,2,2,2,2,0,0,0,3,21,제공하지않는다,가입하지않음,보통이다,40시간이하
27227,2,4,2,2,24.66666667,,,,,,,,,,,,,,,,,,,,,-1,2,2,2,1,2,1,2,5,40,4,3,1,1,3,3,3,3,3,3,3.98,1,3,4,3,4,1,2,2020,1,2014-03-01,2019-02-28,2020-09-01,,2019-02-01,2019-05-01,,3,3,0,0,1,1,-1,3,4,2,2,2,1,2,1,2,5,40,3,3,3,3,3,3,2,1,2,1,1,1,2,1,2,,2,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
27232,2,4,2,2,23.58333333,,,,,,,,,,,,,,,,,,,,,8,1,3,1,1,3,1,1,5,40,4,5,4,5,1,2,1,1,1,3,3.9,1,5,6,6,6,1,2,2020,1,2015-03-01,2019-02-28,2020-09-01,,2019-02-01,2020-02-01,,12,12,1,0,4,5,8,5,4,1,3,1,1,3,1,1,5,40,1,2,1,1,1,3,3,1,2,3,3,1,3,3,3,2,3,3,0,1,0,5,40,제공하지않는다,가입했다,그렇다,40시간이하
27270,2,1,1,2,27,,,,,,,,,,,,,,,,,,,,,5,1,2,3,2,2,1,2,5,20,4,4,2,1,1,2,1,1,1,3,3.94,1,4,7,7,7,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2019-04-01,2020-06-01,,14,14,1,0,2,1,5,4,4,1,2,3,2,2,1,2,5,20,1,2,1,1,1,3,3,1,1,1,1,1,3,3,3,2,3,3,0,1,0,5,20,제공하지않는다,가입했다,그렇다,40시간이하
27288,2,1,1,2,27.91666667,2,6,1,1,1,1,1,1,1,5,40,4,3,3,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,2,2.7,1,4,6,6,5,1,1,2020,0,2012-03-01,2019-02-28,2020-09-01,2018-09-01,,,24,,24,1,1,3,2,6,3,4,1,1,1,1,1,1,1,5,40,1,2,1,1,1,2.093023256,3,1,1,2,1,1,3,3,3,2,2,3,1,1,0,5,40,제공한다,가입했다,그렇다,40시간이하
27291,2,1,1,2,26.66666667,1,7,1,2,2,2,1,2,2,5,35,3,2,2,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,4.1,1,4,7,6,7,1,1,2020,0,2012-03-01,2018-08-31,2020-09-01,2018-09-01,,,24,,24,1,1,2,3,7,2,3,1,2,2,2,1,2,2,5,35,1,2,1,1,1,3,3,1,1,1,2,1,3,3,3,2,1,2,0,1,0,5,35,제공하지않는다,가입했다,보통이다,40시간이하
27301,2,1,1,1,27.5,2,9,1,1,1,1,1,1,1,5,40,3,3,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.85,1,5,6,6,6,1,1,2020,0,2012-03-01,2018-08-31,2020-09-01,2018-07-01,,,26,,26,1,1,3,4,9,3,3,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,1,2,3,1,3,3,3,1,2,2,1,1,0,5,40,제공한다,가입했다,보통이다,40시간이하
27346,2,4,14,1,28.33333333,2,9,1,1,1,1,1,1,1,5,40,4,4,2,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,4,1,4,6,6,6,1,1,2020,0,2012-03-01,2019-02-28,2020-09-01,2018-06-01,,,27,,27,1,1,2,4,9,4,4,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,2,1,3,1,3,3,3,1,3,3,1,1,0,5,40,제공한다,가입했다,그렇다,40시간이하
27396,2,1,1,1,28.66666667,2,9,1,1,1,1,1,1,1,5,40,4,4,4,4,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,3,3.5,2,4,7,7,7,1,1,2020,0,2010-03-01,2018-08-31,2020-09-01,2017-09-01,,,36,,36,1,1,4,4,9,4,4,1,1,1,1,1,1,1,5,40,2,1,1,2,2,3,3,1,1,3,3,1,3,3,3,1,3,3,1,0,0,5,40,제공한다,가입하지않음,그렇다,40시간이하
27566,2,4,2,2,26.33333333,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,5,5,4,4,3,2,2,2,2,2,2,3,3.92,1,4,6,6,6,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2019-05-01,2019-08-01,,3,3,0,0,3,2,-1,4,4,3,3,3,3,3,3,3,5,5,2,2,2,2,2,3,3,1,2,2,1,1,3,3,3,,3,3,0,0,0,5,5,제공하지않는다,가입하지않음,그렇다,40시간이하
